;id;en;full_ssp_name;lat;lng;type;time;date;file
190;220695;Sharp-tailed Ibis;Cercibis_oxycerca_;8.25;-70.1;call;16:00;2000-08-03;https://www.xeno-canto.org/220695/download
191;202961;Sharp-tailed Ibis;Cercibis_oxycerca_;7.4277;-69.328;flight call;?;2009-02-13;https://www.xeno-canto.org/202961/download
192;43319;Sharp-tailed Ibis;Cercibis_oxycerca_;7.058986;-69.494019;song;?:?;2009-02-00;https://www.xeno-canto.org/43319/download
193;225648;Green Ibis;Mesembrinibis_cayennensis_;10.5;-63.0;call;08:30;2003-07-29;https://www.xeno-canto.org/225648/download
194;225655;Green Ibis;Mesembrinibis_cayennensis_;10.5;-63.0;call;09:00;2003-07-29;https://www.xeno-canto.org/225655/download
195;225654;Green Ibis;Mesembrinibis_cayennensis_;10.5;-63.0;call;08:00;2003-07-29;https://www.xeno-canto.org/225654/download
196;225653;Green Ibis;Mesembrinibis_cayennensis_;10.5;-63.0;call;08:00;2003-07-29;https://www.xeno-canto.org/225653/download
197;225652;Green Ibis;Mesembrinibis_cayennensis_;10.5;-63.0;call;07:30;2003-07-29;https://www.xeno-canto.org/225652/download
198;225651;Green Ibis;Mesembrinibis_cayennensis_;4.9833333333;-60.8333333333;call;07:30;2002-07-30;https://www.xeno-canto.org/225651/download
199;225650;Green Ibis;Mesembrinibis_cayennensis_;4.9833333333;-60.8333333333;call;07:30;2002-07-30;https://www.xeno-canto.org/225650/download
200;225649;Green Ibis;Mesembrinibis_cayennensis_;4.9833333333;-60.8333333333;call;07:00;2002-07-30;https://www.xeno-canto.org/225649/download
201;222844;Scarlet Ibis;Eudocimus_ruber_;10.85;-68.3;call;10:00;2000-08-10;https://www.xeno-canto.org/222844/download
202;222843;Scarlet Ibis;Eudocimus_ruber_;10.85;-68.3;call;08:00;2000-08-10;https://www.xeno-canto.org/222843/download
203;221003;Boat-billed Heron;Cochlearius_cochlearius_;7.5637;-69.4968;song;00:00;2011-03-22;https://www.xeno-canto.org/221003/download
204;221011;Boat-billed Heron;Cochlearius_cochlearius_;7.5637;-69.4968;song;00:00;2013-02-22;https://www.xeno-canto.org/221011/download
205;226754;Black-crowned Night Heron;Nycticorax_nycticorax_;10.85;-68.3;call;20:00;2000-08-07;https://www.xeno-canto.org/226754/download
206;65998;Black-crowned Night Heron;Nycticorax_nycticorax_;8.9498;-68.0831;call;08:00;2008-01-27;https://www.xeno-canto.org/65998/download
207;219971;Striated Heron;Butorides_striata_;9.0666666667;-62.05;song?;17:00;2003-08-03;https://www.xeno-canto.org/219971/download
208;219970;Striated Heron;Butorides_striata_;7.9166666667;-62.0;song?;07:00;2003-08-08;https://www.xeno-canto.org/219970/download
209;219969;Striated Heron;Butorides_striata_;7.2333333333;-71.4166666667;call;16:00;1996-12-30;https://www.xeno-canto.org/219969/download
210;219968;Striated Heron;Butorides_striata_;7.9166666667;-62.0;song?;06:45;2003-08-08;https://www.xeno-canto.org/219968/download
